name,league,rank,prev_rank,off,def,spi
Bayern Munich,German Bundesliga,1,1,3.3,0.5,91.5
Real Madrid,Spanish Primera Division,2,2,3.5,0.7,90.9
Manchester City,Barclays Premier League,3,3,2.9,0.5,90.0
Barcelona,Spanish Primera Division,4,4,3.2,0.6,89.4
Liverpool,Barclays Premier League,5,5,2.9,0.6,87.8
Paris Saint-Germain,French Ligue 1,6,6,2.8,0.6,85.7
Juventus,Italy Serie A,7,7,2.4,0.5,84.6
Atletico Madrid,Spanish Primera Division,8,8,2.1,0.4,82.5
Tottenham Hotspur,Barclays Premier League,9,9,2.5,0.7,82.5
AS Roma,Italy Serie A,10,10,2.3,0.6,80.8
Napoli,Italy Serie A,11,11,2.3,0.6,80.8
Arsenal,Barclays Premier League,12,12,2.8,0.9,80.5
Chelsea,Barclays Premier League,13,13,2.3,0.7,78.5
Internazionale,Italy Serie A,14,14,2.2,0.7,78.3
Borussia Dortmund,German Bundesliga,15,15,2.4,0.8,78.0
Lazio,Italy Serie A,16,16,2.5,0.9,78.0
FC Porto,Portuguese Liga,17,17,2.2,0.7,77.8
Manchester United,Barclays Premier League,18,18,2.1,0.6,77.6
Atalanta,Italy Serie A,19,19,2.1,0.7,76.9
Bayer Leverkusen,German Bundesliga,20,20,2.3,0.8,76.9
Lyon,French Ligue 1,21,21,2.3,0.8,76.7
Real Sociedad,Spanish Primera Division,22,22,2.2,0.8,76.5
Valencia,Spanish Primera Division,23,23,2.0,0.6,76.2
TSG Hoffenheim,German Bundesliga,24,24,2.4,0.9,76.1
Sevilla FC,Spanish Primera Division,25,25,2.2,0.8,75.5
CSKA Moscow,Russian Premier Liga,26,26,2.0,0.7,75.4
Schalke 04,German Bundesliga,27,27,2.0,0.7,75.3
Benfica,Portuguese Liga,28,28,2.0,0.7,74.6
Marseille,French Ligue 1,29,29,2.2,0.9,74.2
Eibar,Spanish Primera Division,30,30,1.8,0.6,73.8
Shakhtar Donetsk,UEFA Champions League,31,31,2.2,0.8,73.6
Getafe,Spanish Primera Division,32,32,1.7,0.5,73.1
Villarreal,Spanish Primera Division,33,33,2.1,0.8,72.4
RB Leipzig,German Bundesliga,34,34,2.3,1.0,72.2
Espanyol,Spanish Primera Division,35,35,1.8,0.6,72.0
AC Milan,Italy Serie A,36,36,1.9,0.8,71.9
Real Betis,Spanish Primera Division,37,37,2.0,0.8,71.8
Besiktas,Turkish Turkcell Super Lig,38,38,2.1,0.9,71.6
Fenerbahce,Turkish Turkcell Super Lig,39,39,2.2,1.0,71.4
AS Monaco,French Ligue 1,40,40,2.1,0.9,71.2
Eintracht Frankfurt,German Bundesliga,41,41,1.9,0.8,70.2
FC Salzburg,Austrian T-Mobile Bundesliga,42,42,2.1,1.0,70.1
Galatasaray,Turkish Turkcell Super Lig,43,43,2.0,0.9,70.0
VfB Stuttgart,German Bundesliga,44,44,1.8,0.8,70.0
Werder Bremen,German Bundesliga,45,45,1.9,0.8,69.7
Celta Vigo,Spanish Primera Division,46,46,2.1,1.0,69.5
Athletic Bilbao,Spanish Primera Division,47,47,1.9,0.8,69.3
Borussia Monchengladbach,German Bundesliga,48,48,2.1,1.0,69.2
Fiorentina,Italy Serie A,49,49,1.9,0.9,68.5
Zenit St Petersburg,Russian Premier Liga,50,50,1.7,0.7,68.4
Alavés,Spanish Primera Division,51,51,1.7,0.8,68.2
FC Krasnodar,Russian Premier Liga,52,52,1.8,0.8,68.1
Ajax,Dutch Eredivisie,53,53,2.3,1.2,68.0
Spartak Moscow,Russian Premier Liga,54,54,1.9,0.9,67.8
Girona FC,Spanish Primera Division,55,55,1.9,0.9,67.3
Dynamo Kiev,UEFA Europa League,56,56,1.9,0.9,67.3
Crystal Palace,Barclays Premier League,57,57,1.9,0.9,67.2
Sporting CP,Portuguese Liga,58,58,1.8,0.9,66.8
Braga,Portuguese Liga,59,59,1.9,0.9,66.3
Basel,Swiss Raiffeisen Super League,60,60,2.1,1.2,66.1
Leganes,Spanish Primera Division,61,61,1.6,0.8,65.9
Torino,Italy Serie A,62,62,1.8,0.9,65.5
Bordeaux,French Ligue 1,63,63,1.7,0.9,65.5
PSV,Dutch Eredivisie,64,64,2.4,1.4,65.3
FC Augsburg,German Bundesliga,65,65,1.8,0.9,65.1
Lokomotiv Moscow,Russian Premier Liga,66,66,1.5,0.7,64.7
Levante,Spanish Primera Division,67,67,1.9,1.0,64.7
Hertha Berlin,German Bundesliga,68,68,1.8,0.9,64.3
Leicester City,Barclays Premier League,69,69,1.9,1.0,64.3
Mainz,German Bundesliga,70,70,1.7,0.9,63.9
Nice,French Ligue 1,71,71,1.7,0.9,63.9
Young Boys,Swiss Raiffeisen Super League,72,72,2.1,1.3,63.9
Hannover 96,German Bundesliga,73,73,1.9,1.1,63.1
Istanbul Basaksehir,Turkish Turkcell Super Lig,74,74,1.7,1.0,63.0
Feyenoord,Dutch Eredivisie,75,75,2.2,1.4,62.8
Deportivo La Coruña,Spanish Primera Division,76,76,1.8,1.1,62.8
Stade Rennes,French Ligue 1,77,77,1.5,0.8,62.7
Newcastle,Barclays Premier League,78,78,1.6,0.9,62.0
St Etienne,French Ligue 1,79,79,1.7,0.9,62.0
Hamburg SV,German Bundesliga,80,80,1.7,1.0,61.9
AZ,Dutch Eredivisie,81,81,2.1,1.4,61.5
Boca Juniors,Argentina Primera Division,82,82,1.7,1.0,61.4
Flamengo,Brasileiro Série A,83,95,1.6,0.9,60.5
Montpellier,French Ligue 1,84,83,1.4,0.8,60.4
Olympiacos,UEFA Champions League,85,84,1.6,1.0,60.4
Southampton,Barclays Premier League,86,85,1.6,0.9,60.3
Rubin Kazan,Russian Premier Liga,87,86,1.3,0.7,60.2
Everton,Barclays Premier League,88,87,1.7,1.0,60.0
FC Ufa,Russian Premier Liga,89,88,1.3,0.7,60.0
Anderlecht,UEFA Champions League,90,89,1.7,1.1,59.8
Viktoria Plzen,UEFA Europa League,91,90,1.8,1.1,59.8
SC Freiburg,German Bundesliga,92,91,1.6,1.0,59.5
Reims,French Ligue 2,93,92,1.5,0.9,59.5
River Plate,Argentina Primera Division,94,93,1.6,1.0,59.1
Palmeiras,Brasileiro Série A,95,100,1.6,1.0,59.1
Genoa,Italy Serie A,96,94,1.5,0.9,59.1
VfL Wolfsburg,German Bundesliga,97,96,1.6,1.0,58.8
Watford,Barclays Premier League,98,97,1.6,1.0,58.7
Burnley,Barclays Premier League,99,98,1.5,0.9,58.6
Rapid Vienna,Austrian T-Mobile Bundesliga,100,99,1.8,1.3,58.4
Sampdoria,Italy Serie A,101,103,1.7,1.2,57.9
Red Star Belgrade,UEFA Europa League,102,104,1.9,1.3,57.9
Sassuolo,Italy Serie A,103,105,1.5,1.0,57.8
FC Cologne,German Bundesliga,104,106,1.9,1.4,57.8
Nantes,French Ligue 1,105,107,1.4,0.9,57.7
Slavia Prague,UEFA Europa League,106,108,1.6,1.0,57.7
AIK,Swedish Allsvenskan,107,101,1.6,1.0,57.6
Grêmio,Brasileiro Série A,108,102,1.3,0.8,57.5
AFC Bournemouth,Barclays Premier League,109,109,1.8,1.2,57.3
São Paulo,Brasileiro Série A,110,118,1.5,1.0,57.2
Angers,French Ligue 1,111,110,1.4,0.9,57.2
West Ham United,Barclays Premier League,112,111,1.7,1.2,57.1
Málaga,Spanish Primera Division,113,112,1.5,1.0,56.9
Internacional,Brasileiro Série A,114,119,1.4,0.9,56.8
Godoy Cruz,Argentina Primera Division,115,113,1.4,1.0,56.7
Racing Club,Argentina Primera Division,116,114,1.6,1.1,56.4
Real Valladolid,Spanish Segunda Division,117,115,1.7,1.2,56.3
Guingamp,French Ligue 1,118,116,1.6,1.2,56.2
Udinese,Italy Serie A,119,117,1.5,1.1,56.2
Dinamo Moscow,Russian Premier Liga,120,120,1.3,0.9,55.3
FC Copenhagen,UEFA Europa League,121,121,1.5,1.1,55.3
Terek Grozny,Russian Premier Liga,122,122,1.3,0.9,55.3
Toulouse,French Ligue 1,123,123,1.4,1.0,55.2
Monterrey,Mexican Primera Division Torneo Apertura,124,132,1.5,1.1,55.0
Dijon FCO,French Ligue 1,125,124,1.6,1.2,54.9
West Bromwich Albion,Barclays Premier League,126,125,1.4,1.0,54.7
SK Sturm Graz,Austrian T-Mobile Bundesliga,127,126,1.8,1.4,54.5
Rostov,Russian Premier Liga,128,127,1.2,0.8,54.5
Brighton and Hove Albion,Barclays Premier League,129,128,1.4,1.0,54.4
Rosenborg,Norwegian Tippeligaen,130,130,1.4,1.1,54.0
Celtic,Scottish Premiership,131,131,1.5,1.2,53.9
Empoli,Italy Serie B,132,133,1.7,1.3,53.7
Bologna,Italy Serie A,133,135,1.4,1.0,53.4
Fulham,English League Championship,134,136,1.4,1.1,53.3
AEK Athens,UEFA Europa League,135,137,1.3,0.9,53.3
Crotone,Italy Serie A,136,138,1.5,1.2,53.0
Las Palmas,Spanish Primera Division,137,139,1.5,1.2,52.9
Atletico Mineiro,Brasileiro Série A,138,134,1.7,1.4,52.8
Defensa y Justicia,Argentina Primera Division,139,140,1.3,1.0,52.7
Cruzeiro,Brasileiro Série A,140,129,1.3,1.0,52.5
Chievo Verona,Italy Serie A,141,141,1.4,1.1,52.3
Apoel Nicosia,UEFA Champions League,142,142,1.5,1.2,52.1
FK Partizan Belgrade,UEFA Europa League,143,143,1.7,1.4,52.1
Stoke City,Barclays Premier League,144,144,1.4,1.2,52.0
Trabzonspor,Turkish Turkcell Super Lig,145,145,1.7,1.4,51.9
Cagliari,Italy Serie A,146,146,1.4,1.1,51.8
Strasbourg,French Ligue 1,147,147,1.5,1.2,51.8
Rijeka,UEFA Europa League,148,148,1.4,1.1,51.7
Nimes,French Ligue 2,149,149,1.5,1.2,51.5
Corinthians,Brasileiro Série A,150,183,1.3,1.0,51.4
FC Astana,UEFA Europa League,151,150,1.6,1.3,51.3
Wolverhampton,English League Championship,152,151,1.3,1.1,51.3
Spal,Italy Serie A,153,152,1.3,1.1,51.3
CA Independiente,Argentina Primera Division,154,153,1.2,0.9,51.2
Ural Sverdlovsk Oblast,Russian Premier Liga,155,154,1.2,1.0,51.2
FC Arsenal Tula,Russian Premier Liga,156,155,1.5,1.3,50.7
Vitesse,Dutch Eredivisie,157,156,1.8,1.6,50.6
Malmo FF,Swedish Allsvenskan,158,164,1.5,1.3,50.5
Steaua Bucuresti,UEFA Europa League,159,157,1.3,1.1,50.4
Tigres UANL,Mexican Primera Division Torneo Apertura,160,163,1.3,1.1,50.4
Real Zaragoza,Spanish Segunda Division,161,159,1.4,1.2,50.3
Ludogorets,UEFA Europa League,162,160,1.4,1.2,50.3
Lille,French Ligue 1,163,161,1.5,1.3,50.3
Talleres de Córdoba,Argentina Primera Division,164,162,1.2,1.0,50.1
Cruz Azul,Mexican Primera Division Torneo Apertura,165,167,1.3,1.1,50.0
Kasimpasa,Turkish Turkcell Super Lig,166,165,1.7,1.5,49.9
Union Santa Fe,Argentina Primera Division,167,166,1.2,1.0,49.8
Aston Villa,English League Championship,168,169,1.3,1.1,49.6
Velez Sarsfield,Argentina Primera Division,169,170,1.3,1.1,49.6
Amiens,French Ligue 1,170,172,1.2,1.0,49.6
Östersunds FK,Swedish Allsvenskan,171,168,1.5,1.3,49.5
Huddersfield Town,Barclays Premier League,172,173,1.2,1.0,49.2
Swansea City,Barclays Premier League,173,174,1.3,1.1,49.2
Santos,Brasileiro Série A,174,171,1.3,1.1,49.1
FC Luzern,Swiss Raiffeisen Super League,175,175,1.4,1.3,49.0
SD Huesca,Spanish Segunda Division,176,176,1.3,1.2,48.9
Djurgardens IF,Swedish Allsvenskan,177,158,1.3,1.2,48.9
Club América,Mexican Primera Division Torneo Apertura,178,196,1.4,1.2,48.8
Osasuna,Spanish Segunda Division,179,177,1.0,0.9,48.7
FC Zurich,Swiss Raiffeisen Super League,180,178,1.5,1.3,48.5
FC Sion,Swiss Raiffeisen Super League,181,179,1.6,1.4,48.5
Colon Santa Fe,Argentina Primera Division,182,180,1.1,1.0,48.4
Hapoel Be'er,UEFA Europa League,183,181,1.4,1.2,48.3
Cardiff City,English League Championship,184,182,1.3,1.2,48.3
San Lorenzo,Argentina Primera Division,185,184,1.1,1.0,48.2
Sporting Gijón,Spanish Segunda Division,186,186,1.3,1.2,48.1
Konyaspor,Turkish Turkcell Super Lig,187,187,1.2,1.1,48.0
Bahía,Brasileiro Série A,188,195,1.3,1.2,47.9
Caen,French Ligue 1,189,188,1.2,1.1,47.9
Molde,Norwegian Tippeligaen,190,189,1.6,1.5,47.8
Holstein Kiel,German 2. Bundesliga,191,190,1.5,1.4,47.8
Huracán,Argentina Primera Division,192,191,1.3,1.2,47.5
Parma,Italy Serie B,193,192,1.1,1.0,47.4
Amkar Perm,Russian Premier Liga,194,194,1.0,0.9,47.3
AD Alcorcon,Spanish Segunda Division,195,198,1.0,0.9,47.0
Benevento,Italy Serie A,196,199,1.4,1.4,46.9
Atlético Paranaense,Brasileiro Série A,197,222,1.3,1.2,46.9
Fluminense,Brasileiro Série A,198,193,1.3,1.2,46.9
Maccabi Tel-Aviv,UEFA Europa League,199,200,1.3,1.2,46.9
Belgrano Cordoba,Argentina Primera Division,200,201,1.2,1.1,46.9
1. FC Nürnberg,German 2. Bundesliga,201,203,1.4,1.3,46.8
Cordoba,Spanish Segunda Division,202,204,1.5,1.4,46.8
Brentford,English League Championship,203,205,1.3,1.3,46.8
Cadiz,Spanish Segunda Division,204,206,1.0,0.9,46.7
Argentinos Juniors,Argentina Primera Division,205,207,1.1,1.1,46.7
IFK Norrkoping,Swedish Allsvenskan,206,197,1.5,1.4,46.7
Estudiantes,Argentina Primera Division,207,209,1.0,1.0,46.7
Troyes,French Ligue 1,208,210,1.2,1.2,46.6
Alanyaspor,Turkish Turkcell Super Lig,209,211,1.6,1.6,46.4
Santos Laguna,Mexican Primera Division Torneo Apertura,210,185,1.4,1.4,46.3
Toluca,Mexican Primera Division Torneo Apertura,211,208,1.3,1.3,46.2
Rayo Vallecano,Spanish Segunda Division,212,212,1.4,1.4,45.9
Atlanta United FC,Major League Soccer,213,218,1.5,1.5,45.9
Le Havre,French Ligue 2,214,213,1.1,1.1,45.6
FC Ingolstadt 04,German 2. Bundesliga,215,214,1.4,1.4,45.3
Botafogo,Brasileiro Série A,216,202,1.2,1.2,45.3
Banfield,Argentina Primera Division,217,217,1.0,1.0,44.9
Chapecoense AF,Brasileiro Série A,218,226,1.1,1.1,44.8
Middlesbrough,English League Championship,219,219,1.2,1.2,44.8
Rio Ave,Portuguese Liga,220,220,1.1,1.1,44.8
Numancia,Spanish Segunda Division,221,221,1.1,1.1,44.8
Guimaraes,Portuguese Liga,222,223,1.3,1.3,44.6
Rangers,Scottish Premiership,223,224,1.7,1.8,44.4
FC Zorya Luhansk,UEFA Europa League,224,225,1.2,1.2,44.4
Tenerife,Spanish Segunda Division,225,227,1.3,1.4,44.2
SV Zulte Waregem,UEFA Europa League,226,229,1.5,1.6,44.1
BK Hacken,Swedish Allsvenskan,227,215,1.3,1.3,44.1
1. FC Union Berlin,German 2. Bundesliga,228,230,1.3,1.4,44.1
Tigre,Argentina Primera Division,229,231,1.2,1.2,44.0
FC Utrecht,Dutch Eredivisie,230,232,1.6,1.7,43.9
Hammarby,Swedish Allsvenskan,231,246,1.5,1.6,43.8
Metz,French Ligue 1,232,233,1.3,1.4,43.7
New York Red Bulls,Major League Soccer,233,228,1.4,1.5,43.6
Chaves,Portuguese Liga,234,235,1.4,1.5,43.5
Palermo,Italy Serie B,235,236,1.1,1.2,43.5
New York City FC,Major League Soccer,236,242,1.4,1.5,43.4
